year,host_city,host_country,country_code,country_name,sport,event,athlete_name,medal
1964,Tokyo,JPN,HUN,Hungary,Handball,Handball team event,Liu Park,Silver
1960,Rome,ITA,NED,Netherlands,Wrestling,Wrestling event,Alex Silva,Gold
1964,Tokyo,JPN,GDR,East Germany,Football,Football team event,Maria Tanaka,Bronze
2016,Rio,BRA,CAN,Canada,Basketball,Basketball team event,Yuki Silva,Silver
1972,Munich,FRG,TCH,Czechoslovakia,Handball,Handball team event,Omar Nielsen,Bronze
2016,Rio,BRA,NOR,Norway,Football,Football team event,Lars Petrov,Silver
2004,Athens,GRC,KOR,South Korea,Swimming,Swimming event,Alex Petrov,Bronze
1972,Munich,FRG,ITA,Italy,Cycling,Cycling event,Anna Costa,Silver
1980,Moscow,URS,CHN,China,Shooting,Shooting event,Anna Wang,Bronze
2016,Rio,BRA,GRC,Greece,Boxing,Boxing event,Alex Muller,Bronze
2012,London,GBR,FRA,France,Boxing,Boxing event,Marco Lopez,Bronze
1980,Moscow,URS,URS,Soviet Union,Volleyball,Volleyball team event,Yuki Okafor,Silver
1988,Seoul,KOR,GRC,Greece,Volleyball,Volleyball team event,John Costa,Bronze
2012,London,GBR,GBR,Great Britain,Hockey,Hockey team event,Nadia Petrov,Gold
1972,Munich,FRG,CHN,China,Weightlifting,Weightlifting event,Ivan Okafor,Gold
2016,Rio,BRA,HUN,Hungary,Athletics,Athletics event,Elena Silva,Gold
1992,Barcelona,ESP,BRA,Brazil,Volleyball,Volleyball team event,Diego Novak,Gold
2012,London,GBR,GER,Germany,Volleyball,Volleyball team event,Carlos Lopez,Bronze
1988,Seoul,KOR,JPN,Japan,Weightlifting,Weightlifting event,Diego Okafor,Gold
2012,London,GBR,RUS,Russia,Basketball,Basketball team event,John Muller,Bronze
2000,Sydney,AUS,ITA,Italy,WaterPolo,WaterPolo team event,Ana Wang,Gold
1988,Seoul,KOR,BRA,Brazil,WaterPolo,WaterPolo team event,Elena Muller,Bronze
1980,Moscow,URS,CHN,China,Athletics,Athletics event,Alex Muller,Bronze
1976,Montreal,CAN,USA,United States,Fencing,Fencing event,Maria Kovac,Gold
1988,Seoul,KOR,CAN,Canada,Judo,Judo event,Alex Kovac,Silver
2000,Sydney,AUS,RUS,Russia,Basketball,Basketball team event,Kenji Zhang,Silver
1968,Mexico City,MEX,USA,United States,Fencing,Fencing event,Kenji Smith,Bronze
2016,Rio,BRA,RUS,Russia,Volleyball,Volleyball team event,Wei Costa,Bronze
2000,Sydney,AUS,RUS,Russia,Basketball,Basketball team event,Diego Andersson,Silver
2008,Beijing,CHN,USA,United States,Handball,Handball team event,Lars Wang,Silver
2000,Sydney,AUS,JPN,Japan,Handball,Handball team event,Ivan Wang,Silver
2000,Sydney,AUS,CZE,Czech Republic,Hockey,Hockey team event,Pavel Ahmed,Silver
2004,Athens,GRC,KOR,South Korea,Handball,Handball team event,Diego Tanaka,Silver
1984,Los Angeles,USA,JPN,Japan,Football,Football team event,Liu Ahmed,Silver
1968,Mexico City,MEX,AUS,Australia,Tennis,Tennis event,Pavel Tanaka,Bronze
2004,Athens,GRC,RUS,Russia,Tennis,Tennis event,Liu Petrov,Gold
2012,London,GBR,AUS,Australia,Volleyball,Volleyball team event,Carlos Costa,Gold
1988,Seoul,KOR,NOR,Norway,Shooting,Shooting event,Diego Okafor,Silver
2008,Beijing,CHN,GBR,Great Britain,Hockey,Hockey team event,John Smith,Bronze
1992,Barcelona,ESP,CRO,Croatia,Basketball,Basketball team event,Sofia Smith,Bronze
1996,Atlanta,USA,CAN,Canada,Basketball,Basketball team event,Pavel Muller,Silver
2000,Sydney,AUS,KEN,Kenya,Relays,Relays team event,Anna Novak,Gold
