country_code,country_name,population_millions
USA,United States,304
CHN,China,1320
GBR,Great Britain,61
AUS,Australia,21
GER,Germany,82
FRG,West Germany,61
GDR,East Germany,17
URS,Soviet Union,290
RUS,Russia,142
JPN,Japan,128
FRA,France,64
ITA,Italy,60
KOR,South Korea,49
NED,Netherlands,16
CAN,Canada,33
ESP,Spain,46
BRA,Brazil,192
CUB,Cuba,11
HUN,Hungary,10
KEN,Kenya,39
JAM,Jamaica,3
TCH,Czechoslovakia,15
CZE,Czech Republic,10
SVK,Slovakia,5
YUG,Yugoslavia,23
SRB,Serbia,7
CRO,Croatia,4
GRC,Greece,11
MEX,Mexico,112
NOR,Norway,5
